"fdo_id","fdo_name","short_name","abbrev","sky_name","BBC_name"
98,"AC Milan","Milan","MIL",NA,NA
99,"ACF Fiorentina","Fiorentina","FIO",NA,NA
100,"AS Roma","Roma","ROM",NA,NA
102,"Atalanta BC","Atalanta","ATA",NA,NA
103,"Bologna FC 1909","Bologna","BOL",NA,NA
104,"Cagliari Calcio","Cagliari","CAG",NA,NA
107,"Genoa CFC","Genoa","GEN",NA,NA
108,"FC Internazionale Milano","Inter","INT",NA,NA
109,"Juventus FC","Juve","JUV",NA,NA
110,"SS Lazio","Lazio","LAZ",NA,NA
112,"Parma Calcio 1913","Parma","PAR",NA,NA
113,"SSC Napoli","Napoli","NAP",NA,NA
115,"Udinese Calcio","Udinese","UDI",NA,NA
449,"Brescia Calcio","Brescia","BRE",NA,NA
450,"Hellas Verona FC","Verona","VER",NA,NA
471,"US Sassuolo Calcio","Sassuolo","SAS",NA,NA
584,"UC Sampdoria","Sampdoria","SAM",NA,NA
586,"Torino FC","Torino","TOR",NA,NA
1107,"SPAL 2013","SPAL 2013","SPA",NA,NA
5890,"US Lecce","Lecce","LEC",NA,NA
