fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
57,Arsenal FC,Arsenal,Ars,Arsenal,Arsenal,0
58,Aston Villa FC,Aston Villa,Ast,Aston Villa,Aston Villa,0
402,Brentford FC,Brentford,Bre,Brentford,Brentford,0
397,Brighton & Hove Albion,Brighton & Hove Albion,BHA,Brighton and Hove Albion,Brighton,0
328,Burnley FC,Burnley,Bur,Burnley,Burnley,0
61,Chelsea FC,Chelsea,Che,Chelsea,Chelsea,0
354,Crystal Palace FC,Crystal Palace,Pal,Crystal Palace,Crystal Palace,0
62,Everton FC,Everton,Eve,Everton,Everton,0
341,Leeds United FC,Leeds United,Lee,Leeds United,Leeds,0
338,Leicester City FC,Leicester City,Lei,Leicester City,Leicester,0
64,Liverpool FC,Liverpool,Liv,Liverpool,Liverpool,0
65,Manchester City FC,Manchester City,MnC,Manchester City,Man City,0
66,Manchester United FC,Manchester United,MnU,Manchester United,Man Utd,0
67,Newcastle United FC,Newcastle United,New,Newcastle United,Newcastle,0
68,Norwich City FC,Norwich City,Nor,Norwich City,Norwich,0
340,Southampton FC,Southampton,Sot,Southampton,Southampton,0
73,Tottenham Hotspur FC,Tottenham Hotspur,Tot,Tottenham Hotspur,Tottenham,0
346,Watford FC,Watford,Wat,Watford,Watford,0
563,West Ham United FC,West Ham United,WHU,West Ham United,West Ham,0
76,Wolverhampton Wanderers,Wolverhampton Wanderers,Wol,Wolverhampton Wanderers,Wolves,0
