"fdo_id","fdo_name","short_name","abbrev","sky_name","BBC_name","deduction"
666,"FC Twente '65","Twente","TWE",NA,NA,0
671,"Heracles Almelo","Heracles","HER",NA,NA,0
672,"Willem II Tilburg","Willem II","WII",NA,NA,0
673,"SC Heerenveen","Heerenveen","HEE",NA,NA,0
674,"PSV","PSV","PSV",NA,NA,0
675,"Feyenoord Rotterdam","Feyenoord","FEY",NA,NA,0
676,"FC Utrecht","Utrecht","UTR",NA,NA,0
677,"FC Groningen","Groningen","GRO",NA,NA,0
678,"AFC Ajax","Ajax","AJA",NA,NA,0
679,"SBV Vitesse","Vitesse","VIT",NA,NA,0
682,"AZ","AZ","AZ",NA,NA,0
683,"RKC Waalwijk","RKC","RKC",NA,NA,0
684,"PEC Zwolle","Zwolle","ZWO",NA,NA,0
718,"Go Ahead Eagles","Go Ahead","GOA",NA,NA,0
1909,"SC Cambuur-Leeuwarden","Cambuur","CAM",NA,NA,0
1915,"NEC","NEC","NEC",NA,NA,0
1920,"Fortuna Sittard","Sittard","SIT",NA,NA,0
6806,"Sparta Rotterdam","Sparta","SPA",NA,NA,0
