fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
496,Rio Ave FC,Rio Ave,Rio,Rio Ave,Rio Ave,0
498,Sporting Clube de Portugal,Sporting Lisbon,Spo,NA,Sporting CP,0
503,FC Porto,FC Porto,Pto,NA,Porto,0
582,GD Estoril Praia,Estoril Praia,Est,NA,Estoril Praia,0
583,Moreirense FC,Moreirense,Mor,NA,Moreirense,0
712,FC Arouca,Arouca,Aro,NA,Arouca,0
810,Boavista FC,Boavista,Boa,NA,Boavista,0
1103,GD Chaves,Chaves,Cha,Chaves,Chaves,0
1903,Sport Lisboa e Benfica,Benfica,Ben,NA,Benfica,0
5531,FC Famalicão,FC Famalicão,Fam,NA,Famalicão,0
5533,Gil Vicente FC,Gil Vicente,Gil,NA,Gil Vicente,0
5543,Vitória SC,Vitória Guimarães,Gui,NA,Vitória Guimarães,0
5589,FC Vizela,Vizela,Viz,NA,Vizela,0
5601,Portimonense SC,Portimonense,Pse,NA,Portimonense,0
5602,SC Farense,Farense,Far,NA,Farense,0
5613,Sporting Clube de Braga,Sporting Braga,Bra,NA,Sporting Braga,0
6618,Casa Pia AC,Casa Pia,Cas,Casa Pia,Casa Pia AC,0
9136,CF Estrela da Amadora,Amadora,Ama,NA,Estrela,0
